Abortiporus biennis
Agaricus albolutescens
Agaricus arvensis
Agaricus augustus
Agaricus bernardi
Agaricus bisporus
Agaricus bitorquis
Agaricus californicus
Agaricus campestris
Agaricus deserticola
Agaricus hondensis
Agaricus lilaceps
Agaricus moelleri
Agaricus placomyces
Agaricus pocillator
Agaricus subrutilescens
Agaricus sylvicola
Agaricus vinosobrunneofumidus
Agaricus xanthodermus
Agrocybe arvalis
Agrocybe firma
Agrocybe molesta
Agrocybe pediades
Agrocybe praecox
Agrocybe putaminum
Albatrellus flettii
Albatrellus ovinus
Alessioporus rubriflavus
Aleuria aurantia
Aleurodiscus oakesii
Allodus podophylli
Amanita "sp-S01"
Amanita abrupta
Amanita aestivalis
Amanita albemarlensis
Amanita albocreata
Amanita amerifulva
Amanita amerimuscaria
Amanita ameripanthera
Amanita amerirubescens
Amanita aprica
Amanita atkinsoniana
Amanita augusta
Amanita banningiana
Amanita bisporigera
Amanita brunnescens
Amanita caesarea
Amanita calyptroderma
Amanita canescens
Amanita chrysoblema
Amanita citrina
Amanita cokeri
Amanita constricta
Amanita crenulata
Amanita daucipes
Amanita elongata
Amanita excelsa
Amanita farinosa
Amanita flavoconia
Amanita flavorubens
Amanita foetidissima
Amanita frostiana
Amanita fulva
Amanita gemmata
Amanita insinuans
Amanita jacksonii
Amanita lavendula
Amanita magniverrucata
Amanita multisquamosa
Amanita murrilliana
Amanita muscaria
Amanita novinupta
Amanita ocreata
Amanita onusta
Amanita pachycolea
Amanita pantherina
Amanita parcivolvata
Amanita persicina
Amanita phalloides
Amanita polypyramis
Amanita porphyria
Amanita praecox
Amanita protecta
Amanita pseudobreckonii
Amanita pseudovolvata
Amanita ravenelii
Amanita rhacopus
Amanita rhopalopus
Amanita rooseveltensis
Amanita roseitincta
Amanita rubescens
Amanita silvicola
Amanita sinicoflava
Amanita smithiana
Amanita solaniolens
Amanita spreta
Amanita subcokeri
Amanita submaculata
Amanita thiersii
Amanita velatipes
Amanita velosa
Amanita vernicoccora
Amanita whetstoneae
Ampulloclitocybe clavipes
Annulohypoxylon thouarsianum
Arcyria cinerea
Arcyria denudata
Armillaria gallica
Armillaria mellea
Armillaria nabsnona
Armillaria sinapina
Armillaria solidipes
Armillaria tabescens
Arrhenia chlorocyanea
Arrhenia epichysium
Arrhenia retiruga
Artomyces pyxidatus
Ascocoryne cylichnium
Ascocoryne sarcoides
Aseroe rubra
Asterophora lycoperdoides
Asterophora parasitica
